,"Дата, время начала","НЯ, ОЯ, КНЯ",Тип явления,Критерий,чрезвычайная пожарная опасность,заморозки,сильный ветер,сильный дождь,сильное гололедно-изморозевое отложение на проводах,аномально жаркая погода,налипание мокрого снега при сильном ветре,гололед,сильный мокрый снег,сильный снег,половодье,паводок,шквал,аномально холодная погода,сильный мороз,град,ливень,сильный ливень,туман
3091,2013-01-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3090,2013-01-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3089,2013-01-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3088,2013-01-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3087,2013-01-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3651,2013-01-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3086,2013-01-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3085,2013-01-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3084,2013-01-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3083,2013-01-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3082,2013-01-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3081,2013-01-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3080,2013-01-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3079,2013-01-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3078,2013-01-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3077,2013-01-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3076,2013-01-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075,2013-01-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3074,2013-01-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3073,2013-01-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072,2013-01-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3071,2013-01-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3070,2013-01-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3069,2013-01-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3068,2013-01-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3067,2013-01-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3066,2013-01-27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3065,2013-01-28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064,2013-01-29,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3063,2013-01-30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3062,2013-01-31,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3061,2013-02-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3060,2013-02-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3650,2013-02-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3649,2013-02-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3059,2013-02-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3058,2013-02-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3057,2013-02-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3056,2013-02-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055,2013-02-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3054,2013-02-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3053,2013-02-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3052,2013-02-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051,2013-02-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3050,2013-02-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3049,2013-02-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3048,2013-02-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3047,2013-02-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3046,2013-02-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3045,2013-02-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3044,2013-02-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3043,2013-02-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3042,2013-02-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3041,2013-02-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3040,2013-02-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3039,2013-02-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3038,2013-02-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3037,2013-02-27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3036,2013-02-28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3035,2013-03-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034,2013-03-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3033,2013-03-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032,2013-03-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3031,2013-03-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,2013-03-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3029,2013-03-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,2013-03-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3027,2013-03-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3026,2013-03-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3025,2013-03-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3024,2013-03-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3023,2013-03-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022,2013-03-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3648,2013-03-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3021,2013-03-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3647,2013-03-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3020,2013-03-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3019,2013-03-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3018,2013-03-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3017,2013-03-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3016,2013-03-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3015,2013-03-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3014,2013-03-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3013,2013-03-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3012,2013-03-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3011,2013-03-27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,2013-03-28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3009,2013-03-29,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,2013-03-30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3007,2013-03-31,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3006,2013-04-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3005,2013-04-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,2013-04-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3003,2013-04-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,2013-04-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,2013-04-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,2013-04-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2999,2013-04-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2998,2013-04-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2997,2013-04-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2996,2013-04-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2995,2013-04-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2994,2013-04-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2993,2013-04-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2992,2013-04-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2991,2013-04-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2990,2013-04-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,2013-04-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2988,2013-04-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2987,2013-04-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2986,2013-04-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2985,2013-04-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2984,2013-04-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2983,2013-04-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2982,2013-04-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2981,2013-04-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,2013-04-27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2979,2013-04-28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2978,2013-04-29,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2977,2013-04-30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2976,2013-05-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2975,2013-05-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2974,2013-05-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2973,2013-05-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2972,2013-05-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2971,2013-05-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2970,2013-05-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2969,2013-05-08,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2968,2013-05-09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2967,2013-05-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2966,2013-05-11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2965,2013-05-12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2964,2013-05-13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2963,2013-05-14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2962,2013-05-15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2961,2013-05-16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2960,2013-05-17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2959,2013-05-18,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2958,2013-05-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2957,2013-05-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2956,2013-05-21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2955,2013-05-22,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2954,2013-05-23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2953,2013-05-24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2952,2013-05-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2951,2013-05-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2950,2013-05-27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2949,2013-05-28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2948,2013-05-29,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2947,2013-05-30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2946,2013-05-31,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2945,2013-06-01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2944,2013-06-02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2943,2013-06-03,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2942,2013-06-04,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2941,2013-06-05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3646,2013-06-06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2940,2013-06-07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
