Муниципальное образование,Метеорологическая станция
Александровский МО,Березники
Бардымский МО,Оса
Березовский МО,Кунгур
Большесосновский МО,Большая Соснова
Верещагинский ГО,Верещагино
Гайнский МО,Гайны
ГО город Березники,Березники
ГО город Кизел,Губаха
Горнозаводский ГО,Бисер
Губахинский МО,Губаха
Добрянский ГО,Добрянка
Еловский МО,Ножовка
ЗАТО Звездный,Пермь
Ильинский ГО,Чермоз
Карагайский МО,Верещагино
Кишертский МО,Кунгур
Косинский МО,Коса
Кочевский МО,Кочёво
Красновишерский ГО,Вая
Краснокамский ГО,Пермь
Кудымкарский МО,Кудымкар
Куединский МО,Чернушка
Кунгурский МО,Кунгур
Лысьвенский ГО,Лысьва
Нытвенский ГО,Верещагино
Октябрьский ГО,Октябрьский
Ординский МО,Кунгур
Осинский ГО,Оса
Оханский ГО,Оханск
Очерский ГО,Верещагино
Пермский ГО,Пермь
Пермский МО,Пермь
Сивинский МО,Верещагино
Соликамский ГО,Березники
Суксунский ГО,Кунгур
Уинский МО,Чернушка
Чайковский ГО,Чайковский
Частинский МО,Ножовка
Чердынский ГО,Чердынь
Чернушинский ГО,Чернушка
Чусовской ГО,Лысьва
Юрлинский МО,Кочёво
Юсьвинский МО,Кудымкар
