Time,Район_new,svet_prediction_score_1,svet_prediction_score_2,svet_prediction_score_3,svet_prediction_score_4,svet_prediction_score_5,svet_prediction_score_6
2018-01-01,Александровский МО,1,0,1,0,1,0
2018-01-01,Бардымский МО,0,0,0,0,0,0
2018-01-01,Березники ГО,2,0,1,0,2,0
2018-01-01,Березовский МО,0,0,0,0,0,0
2018-01-01,Большесосновский МО,0,0,0,0,0,0
2018-01-01,Верещагинский ГО,2,0,1,1,1,0
2018-01-01,Гайнский МО,1,0,1,1,0,0
2018-01-01,Горнозаводский ГО,0,0,0,0,0,0
2018-01-01,Губахинский МО,1,0,0,0,1,0
2018-01-01,Добрянский ГО,1,0,2,0,0,0
2018-01-01,Еловский МО,0,0,0,0,0,0
2018-01-01,ЗАТО Звездный,1,2,1,1,0,0
2018-01-01,Ильинский ГО,0,0,0,0,0,0
2018-01-01,Карагайский МО,0,0,2,0,0,0
2018-01-01,Кизеловский ГО,0,0,0,0,0,0
2018-01-01,Кишертский МО,0,0,0,0,0,0
2018-01-01,Косинский МО,0,0,0,0,0,0
2018-01-01,Кочевский МО,0,0,0,0,0,0
2018-01-01,Красновишерский ГО,0,0,0,0,0,0
2018-01-01,Краснокамский ГО,2,0,1,0,1,0
2018-01-01,Кудымкарский МО,0,0,0,0,0,0
2018-01-01,Куединский МО,2,0,1,1,2,0
2018-01-01,Кунгурский МО,2,0,1,0,2,0
2018-01-01,Лысьвенский ГО,0,0,0,0,1,0
2018-01-01,Нытвенский ГО,0,0,0,0,0,1
2018-01-01,Октябрьский ГО,0,0,1,0,0,0
2018-01-01,Ординский МО,0,0,0,0,0,0
2018-01-01,Осинский ГО,0,0,1,0,0,0
2018-01-01,Оханский ГО,0,0,0,0,1,0
2018-01-01,Очерский ГО,0,0,1,0,0,0
2018-01-01,Пермский ГО,2,1,1,0,1,0
2018-01-01,Пермский МО,2,1,1,0,1,0
2018-01-01,Сивинский МО,0,0,0,0,1,0
2018-01-01,Соликамский ГО,2,0,1,0,1,0
2018-01-01,Суксунский ГО,0,0,1,0,0,1
2018-01-01,Уинский МО,0,0,0,0,1,0
2018-01-01,Чайковский ГО,0,0,0,0,1,0
2018-01-01,Частинский МО,0,1,0,0,1,0
2018-01-01,Чердынский ГО,0,0,0,0,0,0
2018-01-01,Чернушинский ГО,0,0,0,0,2,0
2018-01-01,Чусовской ГО,2,0,1,0,1,0
2018-01-01,Юрлинский МО,0,0,0,0,0,0
2018-01-01,Юсьвинский МО,0,0,1,0,0,0
2018-01-02,Александровский МО,0,0,1,0,0,0
2018-01-02,Бардымский МО,0,0,0,0,1,0
2018-01-02,Березники ГО,2,0,2,0,2,0
2018-01-02,Березовский МО,0,0,0,0,0,0
2018-01-02,Большесосновский МО,0,0,0,0,0,0
2018-01-02,Верещагинский ГО,1,0,0,0,0,0
2018-01-02,Гайнский МО,0,0,0,0,0,0
2018-01-02,Горнозаводский ГО,0,0,0,0,0,0
2018-01-02,Губахинский МО,0,0,1,0,0,0
2018-01-02,Добрянский ГО,1,0,1,0,0,0
2018-01-02,Еловский МО,0,0,0,0,0,0
2018-01-02,ЗАТО Звездный,0,2,0,0,0,0
2018-01-02,Ильинский ГО,0,0,0,0,0,0
2018-01-02,Карагайский МО,0,0,1,0,0,0
2018-01-02,Кизеловский ГО,0,0,0,0,0,0
2018-01-02,Кишертский МО,0,0,0,0,0,0
2018-01-02,Косинский МО,0,0,0,0,0,0
2018-01-02,Кочевский МО,0,0,0,0,0,0
2018-01-02,Красновишерский ГО,0,0,0,0,0,0
2018-01-02,Краснокамский ГО,2,0,2,0,0,0
2018-01-02,Кудымкарский МО,0,0,1,0,0,0
2018-01-02,Куединский МО,2,0,2,0,1,0
2018-01-02,Кунгурский МО,2,0,2,0,1,0
2018-01-02,Лысьвенский ГО,1,0,1,0,0,0
2018-01-02,Нытвенский ГО,0,0,0,0,0,1
2018-01-02,Октябрьский ГО,0,0,0,0,0,0
2018-01-02,Ординский МО,0,0,0,0,0,0
2018-01-02,Осинский ГО,0,0,0,0,0,0
2018-01-02,Оханский ГО,0,0,0,0,0,0
2018-01-02,Очерский ГО,0,0,1,0,0,0
2018-01-02,Пермский ГО,2,0,1,0,1,0
2018-01-02,Пермский МО,2,0,0,0,0,0
2018-01-02,Сивинский МО,0,0,0,0,0,0
2018-01-02,Соликамский ГО,2,0,2,0,1,0
2018-01-02,Суксунский ГО,0,0,0,0,0,1
2018-01-02,Уинский МО,0,0,0,0,0,0
2018-01-02,Чайковский ГО,0,0,0,0,0,0
2018-01-02,Частинский МО,0,2,1,0,0,0
2018-01-02,Чердынский ГО,0,0,1,0,0,0
2018-01-02,Чернушинский ГО,0,0,1,0,1,0
2018-01-02,Чусовской ГО,2,0,2,0,0,0
2018-01-02,Юрлинский МО,0,0,0,0,0,0
2018-01-02,Юсьвинский МО,0,0,1,0,0,0
2018-01-03,Александровский МО,0,0,0,0,0,0
2018-01-03,Бардымский МО,0,0,0,0,1,0
2018-01-03,Березники ГО,2,0,0,0,2,0
2018-01-03,Березовский МО,0,0,0,0,0,0
2018-01-03,Большесосновский МО,0,0,0,0,0,0
2018-01-03,Верещагинский ГО,1,0,0,0,0,0
2018-01-03,Гайнский МО,0,0,0,0,0,0
2018-01-03,Горнозаводский ГО,0,0,0,0,0,0
2018-01-03,Губахинский МО,0,0,0,0,0,0
2018-01-03,Добрянский ГО,1,0,0,0,0,0
2018-01-03,Еловский МО,0,0,0,0,0,0
2018-01-03,ЗАТО Звездный,0,2,0,0,0,0
2018-01-03,Ильинский ГО,0,0,0,0,0,0
2018-01-03,Карагайский МО,0,0,1,0,0,0
2018-01-03,Кизеловский ГО,0,0,0,0,0,0
2018-01-03,Кишертский МО,0,0,0,0,0,0
2018-01-03,Косинский МО,0,0,0,0,0,0
2018-01-03,Кочевский МО,0,0,0,0,0,0
2018-01-03,Красновишерский ГО,0,0,0,0,0,0
2018-01-03,Краснокамский ГО,2,0,1,0,0,0
2018-01-03,Кудымкарский МО,0,1,0,0,0,0
2018-01-03,Куединский МО,2,0,1,0,1,0
2018-01-03,Кунгурский МО,2,0,1,0,1,0
2018-01-03,Лысьвенский ГО,1,0,0,0,0,0
2018-01-03,Нытвенский ГО,0,0,0,0,0,1
2018-01-03,Октябрьский ГО,0,0,0,0,0,0
2018-01-03,Ординский МО,0,0,0,0,0,0
2018-01-03,Осинский ГО,0,0,0,0,0,0
2018-01-03,Оханский ГО,0,0,0,0,0,0
2018-01-03,Очерский ГО,0,0,0,0,0,0
2018-01-03,Пермский ГО,2,1,0,0,1,0
2018-01-03,Пермский МО,2,1,0,0,0,0
2018-01-03,Сивинский МО,0,0,0,0,0,0
2018-01-03,Соликамский ГО,2,0,0,0,0,0
2018-01-03,Суксунский ГО,0,0,0,0,0,1
2018-01-03,Уинский МО,0,0,0,0,0,0
2018-01-03,Чайковский ГО,0,0,0,0,0,0
2018-01-03,Частинский МО,0,2,0,0,0,0
