,Местное время,T,meteostation
5,2022-12-31 08:00:00,-16.3,Оса
13,2022-12-30 08:00:00,-11.4,Оса
21,2022-12-29 08:00:00,-23.8,Оса
29,2022-12-28 08:00:00,-10.4,Оса
36,2022-12-27 08:00:00,-12.4,Оса
42,2022-12-26 08:00:00,-6.4,Оса
47,2022-12-25 08:00:00,-3.2,Оса
55,2022-12-24 08:00:00,1.5,Оса
63,2022-12-23 08:00:00,-1.2,Оса
71,2022-12-22 08:00:00,-18.3,Оса
79,2022-12-21 08:00:00,-16.1,Оса
87,2022-12-20 08:00:00,-16.4,Оса
95,2022-12-19 08:00:00,1.2,Оса
101,2022-12-18 08:00:00,-6.3,Оса
109,2022-12-17 08:00:00,-6.6,Оса
117,2022-12-16 08:00:00,-7.8,Оса
125,2022-12-15 08:00:00,-6.8,Оса
133,2022-12-14 08:00:00,-18.8,Оса
141,2022-12-13 08:00:00,-13.5,Оса
149,2022-12-12 08:00:00,-5.3,Оса
157,2022-12-11 08:00:00,-9.5,Оса
165,2022-12-10 08:00:00,-10.4,Оса
180,2022-12-07 08:00:00,-18.8,Оса
188,2022-12-06 08:00:00,-22.3,Оса
203,2022-12-04 08:00:00,-15.2,Оса
210,2022-12-03 08:00:00,-29.6,Оса
218,2022-12-02 08:00:00,-25.9,Оса
225,2022-12-01 08:00:00,-10.6,Оса
233,2022-11-30 08:00:00,-14.3,Оса
241,2022-11-29 08:00:00,-16.4,Оса
253,2022-11-27 08:00:00,-14.2,Оса
258,2022-11-26 08:00:00,-12.7,Оса
265,2022-11-25 08:00:00,-7.2,Оса
273,2022-11-24 08:00:00,-7.7,Оса
280,2022-11-23 08:00:00,-7.8,Оса
288,2022-11-22 08:00:00,-11.1,Оса
296,2022-11-21 08:00:00,-20.6,Оса
304,2022-11-20 08:00:00,-19.4,Оса
312,2022-11-19 08:00:00,-15.5,Оса
320,2022-11-18 08:00:00,-16.7,Оса
328,2022-11-17 08:00:00,-17.1,Оса
336,2022-11-16 08:00:00,-10.3,Оса
343,2022-11-15 08:00:00,-6.0,Оса
351,2022-11-14 08:00:00,-1.5,Оса
359,2022-11-13 08:00:00,4.3,Оса
365,2022-11-12 08:00:00,4.6,Оса
373,2022-11-11 08:00:00,6.1,Оса
381,2022-11-10 08:00:00,3.5,Оса
387,2022-11-09 08:00:00,0.7,Оса
395,2022-11-08 08:00:00,-1.4,Оса
403,2022-11-07 08:00:00,-0.1,Оса
411,2022-11-06 08:00:00,-1.2,Оса
418,2022-11-05 08:00:00,-1.0,Оса
426,2022-11-04 08:00:00,0.2,Оса
433,2022-11-03 08:00:00,-0.5,Оса
439,2022-11-02 08:00:00,5.2,Оса
445,2022-11-01 08:00:00,-0.8,Оса
452,2022-10-31 08:00:00,2.1,Оса
466,2022-10-29 08:00:00,-0.8,Оса
481,2022-10-27 08:00:00,-0.6,Оса
488,2022-10-26 08:00:00,0.0,Оса
496,2022-10-25 08:00:00,0.9,Оса
501,2022-10-24 08:00:00,2.8,Оса
509,2022-10-23 08:00:00,-2.1,Оса
516,2022-10-22 08:00:00,-0.8,Оса
523,2022-10-21 08:00:00,2.4,Оса
530,2022-10-20 08:00:00,2.5,Оса
536,2022-10-19 08:00:00,4.2,Оса
544,2022-10-18 08:00:00,3.8,Оса
552,2022-10-17 08:00:00,6.0,Оса
560,2022-10-16 08:00:00,3.7,Оса
568,2022-10-15 08:00:00,5.9,Оса
576,2022-10-14 08:00:00,5.4,Оса
584,2022-10-13 08:00:00,4.1,Оса
592,2022-10-12 08:00:00,8.3,Оса
597,2022-10-11 08:00:00,7.6,Оса
604,2022-10-10 08:00:00,5.9,Оса
612,2022-10-09 08:00:00,8.6,Оса
619,2022-10-08 08:00:00,7.8,Оса
627,2022-10-07 08:00:00,7.6,Оса
634,2022-10-06 08:00:00,7.0,Оса
642,2022-10-05 08:00:00,8.2,Оса
655,2022-10-03 08:00:00,8.9,Оса
670,2022-10-01 08:00:00,5.2,Оса
676,2022-09-30 08:00:00,1.8,Оса
684,2022-09-29 08:00:00,-2.1,Оса
692,2022-09-28 08:00:00,-2.4,Оса
699,2022-09-27 08:00:00,-0.1,Оса
707,2022-09-26 08:00:00,4.8,Оса
715,2022-09-25 08:00:00,12.1,Оса
721,2022-09-24 08:00:00,11.0,Оса
729,2022-09-23 08:00:00,9.6,Оса
737,2022-09-22 08:00:00,13.5,Оса
744,2022-09-21 08:00:00,6.7,Оса
757,2022-09-19 08:00:00,14.4,Оса
764,2022-09-18 08:00:00,11.3,Оса
779,2022-09-16 08:00:00,13.5,Оса
787,2022-09-15 08:00:00,12.8,Оса
795,2022-09-14 08:00:00,2.2,Оса
802,2022-09-13 08:00:00,4.5,Оса
810,2022-09-12 08:00:00,7.9,Оса
818,2022-09-11 08:00:00,7.8,Оса
826,2022-09-10 08:00:00,2.8,Оса
832,2022-09-09 08:00:00,7.4,Оса
840,2022-09-08 08:00:00,8.0,Оса
848,2022-09-07 08:00:00,7.0,Оса
856,2022-09-06 08:00:00,8.1,Оса
864,2022-09-05 08:00:00,2.3,Оса
871,2022-09-04 08:00:00,6.7,Оса
878,2022-09-03 08:00:00,8.7,Оса
886,2022-09-02 08:00:00,15.6,Оса
894,2022-09-01 08:00:00,17.4,Оса
901,2022-08-31 08:00:00,20.2,Оса
909,2022-08-30 08:00:00,17.2,Оса
917,2022-08-29 08:00:00,14.7,Оса
925,2022-08-28 08:00:00,9.9,Оса
933,2022-08-27 08:00:00,13.8,Оса
941,2022-08-26 08:00:00,16.0,Оса
948,2022-08-25 08:00:00,15.6,Оса
955,2022-08-24 08:00:00,13.6,Оса
966,2022-08-22 08:00:00,14.1,Оса
974,2022-08-21 08:00:00,17.0,Оса
982,2022-08-20 08:00:00,13.2,Оса
990,2022-08-19 08:00:00,9.6,Оса
995,2022-08-18 08:00:00,14.2,Оса
1003,2022-08-17 08:00:00,14.6,Оса
1010,2022-08-16 08:00:00,11.2,Оса
1017,2022-08-15 08:00:00,13.3,Оса
1025,2022-08-14 08:00:00,11.4,Оса
1032,2022-08-13 08:00:00,18.8,Оса
1039,2022-08-12 08:00:00,14.6,Оса
1047,2022-08-11 08:00:00,16.7,Оса
1055,2022-08-10 08:00:00,19.1,Оса
1061,2022-08-09 08:00:00,18.9,Оса
1069,2022-08-08 08:00:00,19.7,Оса
1077,2022-08-07 08:00:00,17.7,Оса
1085,2022-08-06 08:00:00,18.5,Оса
1092,2022-08-05 08:00:00,15.9,Оса
1100,2022-08-04 08:00:00,15.7,Оса
1108,2022-08-03 08:00:00,16.9,Оса
1116,2022-08-02 08:00:00,17.4,Оса
1124,2022-08-01 08:00:00,18.9,Оса
1132,2022-07-31 08:00:00,16.3,Оса
1137,2022-07-30 08:00:00,17.3,Оса
1145,2022-07-29 08:00:00,17.7,Оса
1150,2022-07-28 08:00:00,17.4,Оса
1157,2022-07-27 08:00:00,18.0,Оса
1171,2022-07-25 08:00:00,20.7,Оса
1179,2022-07-24 08:00:00,18.6,Оса
1187,2022-07-23 08:00:00,19.2,Оса
1193,2022-07-22 08:00:00,17.8,Оса
1201,2022-07-21 08:00:00,15.3,Оса
1209,2022-07-20 08:00:00,16.1,Оса
1217,2022-07-19 08:00:00,22.4,Оса
1224,2022-07-18 08:00:00,20.5,Оса
1232,2022-07-17 08:00:00,19.7,Оса
1240,2022-07-16 08:00:00,18.1,Оса
1247,2022-07-15 08:00:00,21.7,Оса
1255,2022-07-14 08:00:00,23.4,Оса
1263,2022-07-13 08:00:00,21.9,Оса
1271,2022-07-12 08:00:00,22.3,Оса
1277,2022-07-11 08:00:00,22.0,Оса
1284,2022-07-10 08:00:00,20.5,Оса
1291,2022-07-09 08:00:00,20.0,Оса
1298,2022-07-08 08:00:00,18.4,Оса
1305,2022-07-07 08:00:00,16.8,Оса
1313,2022-07-06 08:00:00,18.4,Оса
1320,2022-07-05 08:00:00,11.3,Оса
1328,2022-07-04 08:00:00,14.4,Оса
